k 	 samples 	  personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	  personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	  personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	  personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	  personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	  personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	  personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	  personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	  personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 		k 	 samples 	  personas 	 tK 	 tTodos 	 tCentro 	 hitsTodos 	 hitsCentro 
24	10	21	19.2556	1.2395	1.24724	1	0.142857		24	1	21	0.568878	0.217425	0.218801	0.428571	0.428571		24	2	21	1.33055	0.331471	0.333547	0.761905	0.857143		24	3	21	2.40524	0.410924	0.413682	0.571429	0.619048		24	4	21	3.85617	0.427523	0.430924	0.857143	0.904762		24	5	21	5.97331	0.717736	0.72191	0.190476	0.190476		24	6	21	8.76472	0.749524	0.754391	0.285714	0.047619		24	7	21	11.267	0.927433	0.933076	0.0952381	0.238095		24	8	21	15.2427	0.962201	0.968398	0.142857	0.0952381		24	9	21	17.3001	1.15257	1.15951	0.142857	0.238095
25	10	21	19.7703	1.29334	1.30116	1	0.238095		25	1	21	0.582532	0.225938	0.22731	0.428571	0.428571		25	2	21	1.41897	0.344321	0.346466	0.761905	0.857143		25	3	21	2.48189	0.426624	0.429455	0.666667	0.619048		25	4	21	4.0921	0.462421	0.465972	0.857143	0.904762		25	5	21	6.06515	0.730316	0.734553	0.190476	0.190476		25	6	21	9.10203	0.810365	0.815387	0.238095	0.0952381		25	7	21	11.775	0.941426	0.947287	0.190476	0.238095		25	8	21	15.617	0.977615	0.983972	0.0952381	0.0952381		25	9	21	17.794	1.23794	1.24509	0.190476	0.142857
26	10	21	20.2989	1.34797	1.35577	1	0.238095		26	1	21	0.784525	0.243624	0.245047	0.428571	0.428571		26	2	21	1.48518	0.365671	0.367892	0.761905	0.857143		26	3	21	2.52676	0.446368	0.449306	0.714286	0.619048		26	4	21	4.15984	0.466825	0.470365	0.857143	0.904762		26	5	21	6.25913	0.764147	0.768551	0.190476	0.238095		26	6	21	9.32469	0.842034	0.847167	0.285714	0.0952381		26	7	21	12.0107	0.997718	1.00353	0.190476	0.190476		26	8	21	15.9555	1.00276	1.00942	0.0952381	0.047619		26	9	21	18.1678	1.27625	1.28352	0.142857	0.142857
27	10	21	20.6867	1.39148	1.39957	1	0.190476		27	1	21	0.989662	0.247984	0.249409	0.428571	0.428571		27	2	21	1.53493	0.371603	0.373988	0.761905	0.857143		27	3	21	2.62226	0.471304	0.474261	0.809524	0.666667		27	4	21	4.31137	0.479444	0.483093	0.857143	0.904762		27	5	21	6.58204	0.797815	0.802245	0.190476	0.238095		27	6	21	9.83936	0.86349	0.868755	0.238095	0.0952381		27	7	21	12.3191	1.0527	1.05889	0.238095	0.190476		27	8	21	16.412	1.07355	1.08019	0.0952381	0.142857		27	9	21	18.7581	1.31736	1.32483	0.142857	0.0952381
28	10	21	21.0992	1.49192	1.50018	1	0.142857		28	1	21	1.19534	0.268008	0.269468	0.428571	0.428571		28	2	21	1.5773	0.412466	0.414799	0.761905	0.857143		28	3	21	2.97976	0.524539	0.527586	0.809524	0.666667		28	4	21	4.46123	0.544042	0.547802	0.857143	0.904762		28	5	21	6.73526	0.821593	0.826194	0.190476	0.238095		28	6	21	10.0296	0.896938	0.902218	0.285714	0.0952381		28	7	21	12.7763	1.11898	1.12504	0.238095	0.142857		28	8	21	16.6348	1.14475	1.1515	0.142857	0.0952381		28	9	21	19.047	1.38197	1.3896	0.142857	0.0952381
29	10	21	21.6611	1.5305	1.5389	1	0.142857		29	1	21	1.39749	0.292164	0.293666	0.428571	0.428571		29	2	21	1.70412	0.428955	0.43128	0.761905	0.857143		29	3	21	3.04274	0.555712	0.558761	0.714286	0.714286		29	4	21	4.59804	0.58983	0.593636	0.857143	0.904762		29	5	21	6.93416	0.879198	0.88386	0.238095	0.238095		29	6	21	10.2137	0.901843	0.907257	0.238095	0.0952381		29	7	21	13.0635	1.17077	1.17703	0.238095	0.142857		29	8	21	16.8614	1.17441	1.18141	0.142857	0.142857		29	9	21	19.5487	1.41479	1.42261	0.142857	0.142857
30	10	21	22.5031	1.58077	1.58936	1	0.190476		30	1	21	1.59806	0.27428	0.275809	0.428571	0.428571		30	2	21	1.74175	0.415697	0.41817	0.761905	0.857143		30	3	21	3.42585	0.56544	0.568573	0.809524	0.857143		30	4	21	4.71902	0.555706	0.559585	0.857143	0.904762		30	5	21	7.09714	0.912569	0.917323	0.190476	0.238095		30	6	21	10.483	0.914705	0.920167	0.238095	0.0952381		30	7	21	13.3146	1.17215	1.17852	0.238095	0.142857		30	8	21	17.4271	1.25998	1.26725	0.0952381	0.190476		30	9	21	20.2675	1.44619	1.4541	0.0952381	0.0952381
31	10	21	23.0733	1.64237	1.65112	1	0.238095		31	1	21	1.61658	0.293846	0.295409	0.428571	0.428571		31	2	21	1.77724	0.440096	0.442571	0.761905	0.857143		31	3	21	3.47704	0.600173	0.603363	0.761905	0.904762		31	4	21	4.9105	0.615709	0.619711	0.857143	0.904762		31	5	21	7.26137	0.936151	0.940932	0.238095	0.190476		31	6	21	10.9614	1.01204	1.01757	0.238095	0.0952381		31	7	21	13.6351	1.24344	1.25002	0.238095	0.142857		31	8	21	18.1473	1.27069	1.27807	0.0952381	0.142857		31	9	21	20.8279	1.53435	1.54248	0.142857	0.190476
32	10	21	23.5112	1.69604	1.70491	1	0.285714		32	1	21	1.63576	0.293224	0.294802	0.428571	0.428571		32	2	21	1.92248	0.461943	0.464412	0.761905	0.857143		32	3	21	3.61556	0.616196	0.619463	0.809524	0.761905		32	4	21	5.10661	0.657746	0.661847	0.857143	0.904762		32	5	21	7.45492	0.936491	0.941374	0.238095	0.238095		32	6	21	11.3135	1.04274	1.04852	0.238095	0.142857		32	7	21	14.1907	1.24128	1.24767	0.238095	0.142857		32	8	21	18.5994	1.37894	1.3863	0.0952381	0.142857		32	9	21	21.2877	1.57142	1.57964	0.142857	0.190476
33	10	21	24.9556	1.78696	1.79582	1	0.285714		33	1	21	1.64707	0.317071	0.318689	0.428571	0.428571		33	2	21	1.95609	0.47239	0.474797	0.761905	0.857143		33	3	21	3.72334	0.609742	0.612897	0.857143	0.857143		33	4	21	5.20816	0.694052	0.698063	0.857143	0.904762		33	5	21	7.68438	0.980663	0.985545	0.142857	0.238095		33	6	21	12.0933	1.07948	1.08569	0.285714	0.142857		33	7	21	14.4524	1.31578	1.32227	0.238095	0.190476		33	8	21	18.8865	1.49724	1.50455	0.0952381	0.142857		33	9	21	21.6762	1.60302	1.61115	0.142857	0.428571
34	10	21	26.4124	1.836	1.84519	1	0.285714		34	1	21	1.85098	0.339318	0.341006	0.428571	0.428571		34	2	21	1.99335	0.469784	0.472314	0.761905	0.857143		34	3	21	3.81595	0.633685	0.637066	0.857143	0.857143		34	4	21	5.46489	0.637652	0.641823	0.857143	0.904762		34	5	21	8.01113	1.02521	1.03035	0.190476	0.190476		34	6	21	12.2515	1.10419	1.11022	0.285714	0.047619		34	7	21	15.0169	1.28851	1.2953	0.238095	0.190476		34	8	21	19.4395	1.52142	1.52887	0.142857	0.238095		34	9	21	22.1452	1.67178	1.68016	0.142857	0.380952
