Tiros,met0,met1,met2,met3,met4,met5,met6,met7,met8,met9,met10,met11,met12,met13,met14,met15,met16,met17,met18,met19,met20,met21,met22,met23,met24,met25,met26,met27,met28,met29,met30,met31,met32,met33,met34,met35,met36,met37,met38
cb5,18.2222,24.1307,22.2222,2.66753,3.23686,24.1869,23.3987,22.2222,18.9291,1.4782,22.1545,15.7778,25.4837,9.80971,1.44067,3.0017,25.4837,25.4837,9.80971,1.44067,9.80971,3.0017,9.77778,1.03256,2.19195,9.77778,3.38808,10.2222,9.77778,0.318863,0.938298,9.77778,2.77778,15.7778,9.77778,11.7778,15.7778,9.77778,2.22222
lineal9,0.0,0.0015784,0.00940523,0.0191976,0.0292636,0.00641016,0.579556,0.00143237,0.557602,0.0112658,0.57056,0.541479,1.86089,1.88495,7.21156,7.69277,1.86089,1.86089,1.88495,7.21156,1.88495,7.69277,0.0,0.0276392,0.0374799,0.0,0.00051689,0.00138457,0.0,0.00828029,0.0153505,0.0,0.0117647,0.297946,0.0,0.290294,0.40416,0.0,0.422471
2,8.66444,0.664444,35.6644,6.66444,6.66444,0.664444,0.664444,34.8582,6.66444,6.66444,41.6644,6.66444,5.66444,11.0328,5.66444,5.66444,5.66444,5.66444,11.0328,5.66444,11.0328,5.66444,0.664444,6.66444,6.66444,0.664444,26.6644,29.6644,0.664444,6.66444,6.66444,0.664444,6.66444,6.66444,0.664444,6.66444,6.66444,0.664444,26.6644
cb2,10.2222,15.0458,30.2222,0.735845,0.69856,15.0502,15.0574,30.2222,17.6282,0.600539,30.2222,17.7189,14.1934,30.2222,2.17366,0.161845,14.1934,14.1934,30.2222,2.17366,30.2222,0.161845,13.2222,0.367256,0.465852,13.2222,6.22222,10.2222,13.2222,0.130983,0.219167,13.2222,2.77778,2.77778,13.2222,16.8889,17.9365,13.2222,6.22222
r2,11.1667,0.112789,0.635065,1.26807,1.54785,0.871191,11.0797,0.0939076,8.09834,0.604182,9.87371,7.88433,6.72709,17.2045,0.173331,18.8333,6.72709,6.72709,17.2045,0.173331,17.2045,18.8333,0.0,0.226667,0.690537,0.0,9.85096e-11,0.00121966,0.0,0.277019,0.203151,0.0,14.1667,6.78571,0.0,7.03333,6.78571,0.0,7.03333
lineal7,0.0,0.00087907,0.217975,0.441294,0.621683,0.221936,4.63909,0.000233122,3.94137,0.231298,4.34744,3.41721,1.01106,11.5716,1.97319,15.7598,1.01106,1.01106,11.5716,1.97319,11.5716,15.7598,0.0,0.107823,0.266501,0.0,0.000479417,0.000502504,0.0,0.134631,0.0703791,0.0,1.13609,0.858416,0.0,0.902094,0.873951,0.0,0.860094
lineal4,5.6257,0.000405501,0.389723,0.818218,1.21157,1.99733,13.3959,2.00028,12.2104,2.01017,12.9029,11.317,7.01383,18.3743,4.89792,44.3743,7.01383,7.01383,18.3743,4.89792,18.3743,44.3743,0.0,0.739684,1.11251,0.0,0.000563254,0.00169119,0.0,0.221169,0.450737,0.0,10.0543,9.80728,0.0,9.8203,9.7762,0.0,9.7783
conj1,36.4,39.1639,21.4,29.4,11.2121,40.4,37.4,40.4,33.8945,36.4,21.4,21.4,43.9219,27.3373,15.7447,24.4048,43.9219,43.9219,27.3373,15.7447,27.3373,24.4048,13.4,5.4,5.4,13.4,29.4,36.9417,13.4,37.5429,29.703,13.4,5.4,35.9536,13.4,21.4,21.4,13.4,5.4
conj7,8.80769,18.1923,38.1923,27.1923,11.1923,19.8077,19.8077,3.04349,24.8047,11.1923,19.1923,2.80769,19.8077,7.41601,10.4845,9.44192,19.8077,19.8077,7.41601,10.4845,7.41601,9.44192,8.69231,3.19231,3.19231,8.69231,0.29676,9.81747,8.69231,3.19231,3.19231,8.69231,5.19231,5.19231,8.69231,4.80769,0.450549,8.69231,0.353846
cuadr7,16.7647,39.7647,3.76419,7.65094,5.90773,39.7647,39.7647,10.4653,16.7647,8.76471,0.764706,8.76471,39.7647,17.4847,31.7292,19.9213,39.7647,39.7647,17.4847,31.7292,17.4847,19.9213,0.764706,0.764706,0.764706,0.764706,29.5347,21.5347,0.764706,24.7647,24.7647,0.764706,16.7647,0.764706,0.764706,13.9176,25.4076,0.764706,8.76471
r4,25.8333,0.167397,1.88526,2.98525,2.79841,2.36519,16.1667,0.132154,10.1667,1.31134,16.1667,6.53606,21.8333,14.1667,13.8733,9.36137,21.8333,21.8333,14.1667,13.8733,14.1667,9.36137,0.0,5.83333,1.17219,0.0,0.00408916,0.0174155,0.0,5.83333,0.172091,0.0,13.8333,5.83333,0.0,13.8333,2.16667,0.0,12.1667
conj3,15.2727,42.2727,11.7273,3.27273,3.27273,42.2727,42.2727,1.72864,3.27273,3.27273,3.27273,19.2727,44.8168,27.2727,21.6285,12.3565,44.8168,44.8168,27.2727,21.6285,27.2727,12.3565,27.2727,3.27273,3.27273,27.2727,15.6778,4.0254,27.2727,25.2144,3.27273,27.2727,19.2727,15.3263,27.2727,11.2727,11.2727,27.2727,9.78182
rp30,2.69667,0.0015087,0.598073,0.968632,1.01373,0.636833,7.62402,0.00102786,4.8852,0.450705,6.48333,4.54308,2.64831,4.55154,2.91903,0.553915,2.64831,2.64831,4.55154,2.91903,4.55154,0.553915,0.0,0.124987,0.507566,0.0,2.86005e-05,0.00100488,0.0,0.184919,0.149593,0.0,4.35333,4.61643,0.0,4.58733,4.53357,0.0,4.54533
